category,bariba,french
Nourriture et boissons,Sa nɔra bia su ka tam nɔ.,Nous n'avons :
Nourriture et boissons,"Yén nɔra mì. Mì wɔrun nɔru, miya binɛn nɔru.","C'est tout. Là où le trou s'arrête, c'est là que l'envie de viande s'ar- rête aussi."
Nourriture et boissons,Tam nɔrubu kun bɛɛrɛ mɔ.,Boire de l'alcool n'est :
Nourriture et boissons,A doo yɛnuɔ a nim nɔruma kpaa wurama.,Va boire de l’eau à la maison et reviens. .
Nourriture et boissons,Nim mɛ mu koo nɔrura.,Cette eau sera bue.
Nourriture et boissons,Ba man tam mɛ nɔruri.,Ils ont bu mon chapaloà mon insu.
Nourriture et boissons,Daa te sɔɔra sa nɔrusi wuu giru.,. . C’est dans ce marigot que tous nous buvonsau village.
Nourriture et boissons,A dea bii wi nim nɔrusia. Sɔɔ ben kpaa yɛ̃ ro u bè tam nɔrusia.,Fais boire cet enfant. L'hôte de ces étrangers les a fait boire de l'alcool.
Nourriture et boissons,A man nɔrutiru kãma.,Donne-moi une calebasse pour boire.
Nourriture et boissons,"Yãa ni, nu kĩ nù bɛsɛn gberenu tem.","le, la, lui, les. Ces moutons veulent 191 nua nuku yarabu manger notre maïs."
Nourriture et boissons,"Na nim nɔra too, nɛn nuki yiu siirimɔ.","avoir des nausées. J'ai bu trop d'eau, j'en ai des coliques."
Nourriture et boissons,"Gisɔku ge, nuku tɛmaru ta dam mɔ bɛsɛn wuuwɔ.","Cette année, il y a beaucoup de maux de ventre dans notre village."
Nourriture et boissons,"Gĩan yaa ye, ya kɔ̃ sa, sere ya den numia.",dégager une odeur. La viande d'hier est gâtée jusqu'au point qu'elle sent.
Nourriture et boissons,"Wunɛn yaa ye yàn numiama, aku maa yè di.","Si ta viande commence à sentir, ne la mange plus."
Nourriture et boissons,Yaa ye ya numiara.,La viande a été sentie.
Nourriture et boissons,Ba man nɛn yaa numiari.,Ils ont humé ma viande.
Nourriture et boissons,Na gɔni yi mwɛɛra kaokoro. okorowa P - p,J'ai attrapé ces pintades avec un piège à oiseau.
Nourriture et boissons,U win turo pitasia.,Il a fait dénoncer son copain.
Nourriture et boissons,Gɔna ye ya pitiara.,Cette peau a puêtre tournée.
Nourriture et boissons,U win bararu gɔna potema.,Ila couvert de peau son tambouret est revenu .
Nourriture et boissons,"A dãa pɔtira burama, su ka sasara ko.",Coupe un morceau de bois pour qu'on érige des hangars. pötiria.
Nourriture et boissons,Kɔrɔkuɔ tɔmbu ba ra kpaakuma kã.,"A Parakou, on aime manger la peau du boeufs."
Nourriture et boissons,Kpãanɔ 198 kpaakpa agbɔ̃ kpakiasi kpɛɛnu nu dabi wuu sɔɔ. Kpãanɔ kpɛɛra. Kpãanɔ kpɛɛnu. Kpãanɔ kpɛɛna,Il y a beaucoup de toit de tôle en ville.
Nourriture et boissons,Win kɛkɛ ya nɛgia kpaaru kere.,Sa voiture est plus neuve que la mienne.
Nourriture et boissons,Marebu ba tii kpasa so bù ka tɔ̃ɔ bakaru da.,Les peuls appliquent de la poudre rouge sur la peau pour aller à la fête.
Nourriture et boissons,Nɛn kpaasi u win dokiri kpaaru da.,Mon ami s’est rendu dans le vilaage de ses beaux parents.
Nourriture et boissons,Nɛn wasi yu man kpaki ma na wobura.,démanger. Mon corps m’a démangé et je me suis lavé.
Nourriture et boissons,Nim mɛna uka win beka kpakia.,rincer. Ils’est servi de cetteeau pour rincer ses pagnes.
Nourriture et boissons,Yera a taasi kpakie nim buram mɛ sɔɔ ?,Et tu as rincé ces ignames dans l’eau propre ?
Nourriture et boissons,A kpam do a nùn wa ù n yanda.,Va de nouveau voir s'il s'est réveillé.
Nourriture et boissons,Bire yaba yàn nun mmaraa ku nɛɛ kpansokowa ya nun mara.,"Si un vieux panier t'a engendré, ne dis :"
Nourriture et boissons,Na kpana n kpakpa ye kɔra.,Je n'est pa pu casser le fruit de palmier.
Nourriture et boissons,Kpakpa ya wɔruma yen dãru wɔllun di.,Elaeis. Un fruit du palmier est tombé du haut de l'arbre.
Nourriture et boissons,Kpakpa agbɔ̃ yen nim kun do. kpkpa agbɔ̃ wa  kpkpa agbɔ̃ ba . kpkpa agbɔ̃ bara .,L'eau du coco n'est :
Nourriture et boissons,Kpakpayɛ ya ǹ nim gara. Le canard n'a Kpakpayɛ ba ra nim kɔsum ka.,Les canards aiment de l'eau sale.
Nourriture et boissons,kparubawa sa mɔ sa ra ka nim nɔ.,Nous avons une bouteille pour boire de l'eau.
Nourriture et boissons,Gbere gunɔku ba kparàbu dɔɔ. Wunɛn beku ten kparabu bu bɔbia.,cris pour chasser les oiseaux. Les gardiens du maïs vont chasser les animaux. action de secouer. Tu as trop secoué le pagne.
Nourriture et boissons,Kpasa ya gɔna mɔ yè sekobu ba ra kãbù ka bɔɔnu ko.,L'antilope a une belle peau que les forgeron aiment pour faire des soufflets .
Nourriture et boissons,"U kpee fundu tarimɔ, ù ka sirinu gira. kpèe goobu [kpèè goòbu]poule sauvage. Kpee goobu ga ku ra sĩ ge teu. La 203 kpee kɔbusa kpenu kasuku poule sauvage ne marche : kpèe goobuwa kpèe goobunu.",Il tresse une fronde pour chasser les oiseaux.
Nourriture et boissons,À kun bɔru gabo mmɔa ku kpee sãara wɔri kana. kpèe sãaraa  kpèe sãari. kpèe sãariya.,"Si tu n'as personne pour te protéger le nuque, ne provoque :"
Nourriture et boissons,"Döma tè sa ǹ yaa mɔ, kpee sösɔra sa ra ka di.",Quand on n'a :
Nourriture et boissons,"Yaa kun maa tie, kpee tɔm mu wãa.","Il n'y a plus de viande, c'est le jus de sauce de viande qui reste."
Nourriture et boissons,"À n nɔɔmɔ kpee yu do, kpee yãna nu yibaa. kpee yãna.","Si tu apprends que la sauce est bonne, c'est qu'il y a tous les condiments."
Nourriture et boissons,Ba man nɛn dibu kpeeri.,Ils ont fini de manger toute ma pâte.
Nourriture et boissons,U yaa ye murawa kpente kpente.,Il a coupé la viande en de petits morceaux.
Nourriture et boissons,Bɛsɛn tem tuuta ya nim kpesa mɔ. kpese wekeru/ kpeseburu [kpesè wékéru]marmite pour la sauce. Yaburɔwa ba rà kpese wekeru dɔre.,Le drapeau de notre pays contient la couleur jaune. C'est au marché qu'on vend la marmite pour la sauce.
Nourriture et boissons,A swãa ye nim kpɛ̃ɛma ana.,commencer à mettre dans. . et venir. Mets le poisson dans l'eau et viens.
Nourriture et boissons,"Yaanwii kpɛndu, be ba ǹ donnu mɔ, ben yaa mi.",La cervelle est conseillée surtout à ceux qui n'ont Lihatlah:
Nourriture et boissons,U wɛnya kpɛtɛ.,Il a beaucoup transpiré.
Nourriture et boissons,Kon nim kpia soo sɔɔ.,Je vais prendre de l'eau dans le seauinacc.
Nourriture et boissons,U dãa te bɔɔra kpiri kpirika.,Il a coupé le bois en menus morceaux.
Nourriture et boissons,U gunɔmunu gira ka kpurantɛɛru.,Il a chassé les petits oiseaux avec une fronde.
Nourriture et boissons,Saataburu bii mɛron sesera. saatabura  saatabunu saatabuna,Il est interdit à la jeune mère de manger de la viande de lièvre.
Nourriture et boissons,Mɔri saaki itawa sa dɔra.,Nous avons vendu trois sacs de riz.
Nourriture et boissons,A nɛɛ ù yaa ye saama ù ka na.,Dis-lui de préparer la viande et de l'apporter.
Nourriture et boissons,Yarufa u yellu seewa u saarɛ di ma u wure u kpuna.,"Alufa s'est levé tôt, il a pris le repas matinal et il s'est recouché."
Nourriture et boissons,"U man saarima, yerau yĩiyɔ ba koo maa wi suawa.","Quand il a commencé à m'imiter, il croyait qu'on allait le prendre aussi."
Nourriture et boissons,Seko ura woburun nɔɔ dere ka sàasaa.,Le forgeron rend le couteau tranchant avec une lime.
Nourriture et boissons,Na ku ra sãasãanu kã. Wɔmu ga rà sãasãanu di. sãasãana,"petites choses futiles, futilités. Je n’aime 2) nourriture nonhabituelle. Le singe mange de la nourriture inhabituelle."
Nourriture et boissons,Yellun tɔmbu ba rà ràa dɛmbɛru ko ka sallu.,Les anciens se faisaient des cache-sexe avec une peau.
Nourriture et boissons,Yarufa ba ku ra sàkɔ yaa tem.,La viande de sanglier est interdite aux musulmans.
Nourriture et boissons,Bɛsɛn sãku suabu bu kĩ bù saka sara. sãku suaba.,Notre façon de tuer les animaux sur les tombes dépasse la limite raisonnable.
Nourriture et boissons,Sãkuru ta ka pɛrɛku kobu do.,"igname femelle, igname ailée, igname blanche. La purée de l'igname blanche est bonne à manger."
Nourriture et boissons,"Sãkusã koo ka sun we, sãkusã, à n gɔbu, a turo sĩ. sãkusɛ̃ ya.","Le héron va nous ramener à la maison, héron, si tu es avare, tu seras tout seul."
Nourriture et boissons,"Saruru, tera ba ka wunɛn baranu kua.",Tes chaussures sont faites avec de la peau tannée.
Nourriture et boissons,Baaniwa ba ra ka saruru go. sasa kɔkɔru [sàsà kɔkɔru]bas d'une claie. Gabu ba ra doo ko sasa kɔkɔru sɔɔ.,Il y a un instrument pour tanner la peau. Certains font la cuisine au bas d'une claie.
Nourriture et boissons,Tɔn kurɔ u gbɛ̃ abwɛ̃ɛmɔ sasaru wɔllɔ.,La femme met des choses au dessus du grenier.
Nourriture et boissons,A dea dĩa ni se.,Evitede manger cette nourriture. sera.
Nourriture et boissons,U sãawa sɔkuru se.,Il lui est interdit de manger de l'igname pilée. ne : sera.
Nourriture et boissons,Bii u gobi kureru dɔba ma u da u semi gam.,Un enfant a ramassé un rouleau de billets de banque et est allé le cacher quelque part.
Nourriture et boissons,"À n sen burabu ddaa taa kɛbio, bù ku raa wunɛn taaru woburu mura.","Si tu vas à la circoncision, écarte tes jambes pour que le couteau ne coupe :"
Nourriture et boissons,Seko Saka u sɛɛku buranu kua.,Le forgeron Saka a fabriqué de beaux petits bracelets.
Nourriture et boissons,Goo yaa ye ya sɛ̃ɛra.,La viande de coq a été boucanée.
Nourriture et boissons,A nɛn yaa ye sɛ̃ɛsi wɔru ge sɔɔ.,Fais boucaner ma viande dans le trou.
Nourriture et boissons,Na boo ya ye sɛ̃ɛsia yù ku numia.,J’ai fait boucaner la viande du cabri pour qu'elle ne pourrisse :
Nourriture et boissons,Kurɔ win sɛkɛ ya do.,Cette femme prépare de la bonne viande à vendre.
Nourriture et boissons,Siikuro ga sòkuru kua dii gãarɔ.,L’oiseau jaune a fait son nid derrière la chambre.
Nourriture et boissons,Gabu ba ku ra yaa sɛ̃ wɛ bù sere saa.,Certains ne font :
Nourriture et boissons,Su boo dwe su ka sɛnsɛnga ko.,Achetons un cabri pour faire de la brochette de viande assaisonnée.
Nourriture et boissons,Na ǹ kpɛ̃ n sɛnsɛnga ko.,Je ne peux :
Nourriture et boissons,"Yè dãru ta nùn sɛ̃ rema , yerau yɔ̃ɔwa u suraa.","Lorsque le mur voulait tomber sur lui, il a sauté de coté."
Nourriture et boissons,Sɔkura sɛ̃ ri ka dim do.,"Oseille de Guinée, Roselle karkadé. Il est bon de manger l'igname pilée avec l'Oseille de Guinée."
Nourriture et boissons,Na tan wɔ̃ɔra si sɛsia na kokosu wĩa.,J'ai gratté de l'igname grillée en enlevant sa peau.
Nourriture et boissons,Sɛ̃ u ga dimɔ turuku mini.,Un renard est entrain de manger tout à côté.
Nourriture et boissons,"Dĩa ni, nu ǹ ka man naawɛ, na sia.",vomir. Ce repas ne convient :
Nourriture et boissons,Na wunɛn kɛ̃ɛte siara.,Je suis content de ton cadeau.
Nourriture et boissons,Sii kuro ga ra wɔki.,Le moineau crie beaucoup.
Nourriture et boissons,Sika kurɔ wi u mara.,La dame a fait des jumeaux.
Nourriture et boissons,"Siku gɔrɔrɔru, tera ba ra wasangari bii kue.",On fait une tombe allongéeau wasangari.
Nourriture et boissons,Yaaya yibaawa siki siki.,"Si c’est la viande, il y en a beaucoup."
Nourriture et boissons,Babɔ̃ɔ goru sikia ba 231 sikiabu simba tema.,Ils ont déterré le corps d’un chien pour manger.
Nourriture et boissons,Siku kãaru ta suremɔ. siku kãara. siku kãanu. siku kãana.,L’ancien tombeau est en train de s'enfoncer.
Nourriture et boissons,"Ye ba timgii wi sika ba kpa, yerau sikura.","ressusciter, sortir dutombeau. Quand ils ont enterré le guériseur, ilest ressucité."
Nourriture et boissons,sa bɛsɛn wuun sìkaa bana.,Nous avons bâti les tombeaux de notre village. sìkura. sìkunu. sìkuna›.
Nourriture et boissons,Biɔn yɛnuɔ tɔmbu ba yibaawa sim sim. sim sim [sim sim]Bridelia ferruginea (Euphorbiacées).,Il y a du monde dans la maison de Bio.
Nourriture et boissons,Bagirin baaba tɔnweron sina kɔna sɔɔ win sesu gobi di n banda.,"Quand on rasait la tête de l'oncle de Baguiri, sa soeur a beaucoup dépensé. dépensé."
Nourriture et boissons,Ba ka sira dɔ̃ɔ gura.,On s’est servi du morceau de poterie pour prendre du feu.
Nourriture et boissons,"Yè yaruwaasi u kĩ ù kurɔ sua, u sireena gea.","ne savoir que faire, aller de ci, de là. Quand le jeune voulait se marier, il s'est beaucoup promené."
Nourriture et boissons,À n daaru wwumaa siru ge nim yibio.,"Si tu reviens du marigot, tu mettras de l'eau dans la jarre."
Nourriture et boissons,"A nim mɛ kubo, sisi kinɛru ta wɔri sɔɔ.","Verse cette eau, un cancrelat est tombé làdans."
Famille et relations,"Domma ana? A nɛɛ a Biɔ wa u gberu dɔɔ. Ba man sɔ̃ɔwa mà wunaa nɛn bii so. Na kĩa man somi. Wunɛn baa nɛɛ ana, u nun maraa yɛnuɔ.","i. Quand es-tu venu? Tu as dit avoir vu Bio aller au champ. On m'a dit que c'est toi qui as frappé mon enfant. tu sujet du verbe au subjonctif : Je veux que tu m'aides. Ton père te demande de venir, il t'attend à la maison. sujet du verbe à l'impératif. Va!"
Famille et relations,bii abiikun kɔ̃ subu bu sɛ̃ .,"enfant survivant d’une mère, après une série d'enfants décédés. Tu vois ! Il est difficile d'élever un enfant qui naît après plusieurs enfants décédés."
Famille et relations,Ben wuun yabura adaamisi. Adaamisi sɔna bɛsɛn wuun yaburu.,Le jour du marché de leur village est jeudi. Le jeudi est le jour du marché de notre village.
Famille et relations,"Bii mɛron ade gbɛ̃ɛrɔ yarem ku ra kpe. Dans le canari d'une mère d'enfant, l'huile ne finit   ade gbɛ̃ɛnu.",n: t .
Famille et relations,A arem dokeo bii win swaɔ.,Mets de l'huile de palmiste dans l'oreille de l'enfant.
Famille et relations,Agirigirina bii wi u barɔ.,Cet enfant souffre des oreillons.
Famille et relations,Gin teerun alaamisiwa u na.,C’est le jeudi dernier qu’il est venu. .
Famille et relations,"Amɛn biru, win tundo u koo bandu di.","D'ici peu de temps, son père règnera sur le trône."
Famille et relations,Durɔ win amina yen tusanu wukura.,L'ornement du cheval de ce monsieur n'a plus ses pompons.
Famille et relations,"Gunuban baan ananawa ba kua gin teeru. Woru Yorun anana sɔɔ, win bibu ba beka kɛ̃ ru kua mi gem gem.","grande cérémonie d’enlèvement de deuil. C’est la cérémonie funéraire du père de Gunu et ses frères qui s’est déroulée avant-hier. distribution de dons aux griots au cours des funérailles. Pendant la cérémonie funéraire de Worou Yorou, ses enfants ont distribué beaucoup de pagnes."
Famille et relations,Anna wunɛn bii ? Alafia Comment va ton fils? anna yɛnu 'comment va la maison ? anna wunɛn kurɔ 'comment va ta femme ? anna wunɛn durɔ 'comment va ton mari ? anna a kpuna 'comment as-tu dormi ? anna a sɔ̃ɔsɔɔ kua 'comment passes-tu la journée'; Anna a yabe buraru wa ! anna n kuawa ?,comment va. . . ? '; anna bii 'comment va l'enfant ? '; anna bibu 'comment vont les enfants ? '; anna wasi 'comment va la santé ? '; '; '; '; anna a yoka kua 'comment passes-tu la soirée ? '. comment! quel . . . ! Quelle belle chemise ! Que se passe-t-il ?
Famille et relations,Annasara ben wuu ga toma.,Le pays des femmes ou hommes blancs est loin. . .
Famille et relations,Anuɔwa Bɔnin kurɔ ura ka kpee sa.,Ce sont les feuilles que la femme de Boni utilise comme aromatisant.
Famille et relations,Bii mɛron are gbɛ̃ɛrɔ arem kù rà kpe. are gbɛ̃ɛra. are gbɛ̃ɛnu. are gbɛ̃ɛna.,"t . petit canari pour pommade des enfants. dans le canari d'une mère d'enfant, l'huile de palmiste ne finit jamais."
Famille et relations,A arem dokeo bii win swaɔ.,Mets de l'huile de palmiste dans les oreilles de l'enfant.
Famille et relations,"Baa ǹ n tɛɛmɔ, aruwaasi yɛnu yɛ̃ rowa.","Tôt ou tard, le jeune finit par devenir chef de famille."
Famille et relations,I bii wi derio ka win atafiiru.,"Laissez cet enfant, il se moque des gens. ."
Famille et relations,Na nɛn bibun ayo mö.,J'ai de la sympathie pour mes enfants.
Famille et relations,"Ayɔru tàn tɔnu mö, u kù rà n tii mɔ. ayɔra na ka wii ayo kua.","Celui qui a la sorcellerie ne se possède Ne m'embête : Quand le père de Bio est mort, j'ai compati avec lui."
Famille et relations,"père, géniteur, papa. Bɔnin baawa u bii gɔrima. les oncles paternels, Na nɛn baaba tɔbiribu da. Kpuna n do baa.",C'est le papa de Boni qui a envoyé un enfant. Je suis allé saluer mes oncles paternels. Bonjour papa.
Famille et relations,Tɔn kurɔbu ba rà bɛ̃ɛ dewa.,Les femmes portent des perles aux hanches.
Famille et relations,U wãa win baa bɔru kpararun mi sere uka bukura. baa bɔru kparara. baa bɔru kparobu. baa bɔru kparoba.,Il est resté chez son beau-père jusqu'à un âge avancé.
Famille et relations,Nɛn wɔnɔ Saka u baa tim mɔ.,Mon jeune frère Sacca a l'art de bien parler.
Famille et relations,Sanin baayãkabuu ga wii sii duma dwia. baa yãkabuu. baa yãkabnu. baa yãkabuna.,L'oncle de Sani lui a acheté un vélo.
Famille et relations,"Baaba, ade sa n yɛ̃ mɛ̀ wunaa Gusunɔ.","Père, faisnous savoir que tu es Dieu."
Famille et relations,"Bɛsɛn baabaa u baabaa yɛ̃ kuba duura win gberɔ. Wunɛ a sanɔ, aǹ yɛ̃ yèn Mare Yɔ̃ɔ mö uka baaba yɛ̃ɛku sebua. baaba yɛ̃ɛkuwa. baaba yɛ̃ɛkuba. baaba yɛ̃ɛkubara.","liane réglisse. Notre père a semé des lianes réglisses dans son champ. Toi, tu es bien, tu ne sais :"
Famille et relations,"Yè ba gberu da, bibu ba bɔ̃ɔ binun nɔni baakia. baaya 'entrouvrir, écarter'; baakira 'être écarté plusieurs fois'.","Lorsqu'ils sont allés aux champs, les enfants ont entrouvert les paupières des jeunes chiots."
Famille et relations,Baaniwa ba rà ka saruru go. Ba biin boo sɔɔ baani doke.,arbre dont on emploie l'écorce pour tanner les peaux. C'est avec le baani que l'on tanne la peau. fruits utilisés pour le soin des plaies. On a mis le baani dans la plaie de l'enfant.
Famille et relations,"Yè bɛsɛn daarun nim mu den bãarama, yera ba nɛɛ ba koo bana se.",Ils ont attendu que l'eau de notre marigot commence à tarir pour dire qu'ils vont faire une construction.
Famille et relations,Seko bii wi u baaribu gia ka baku.,L'enfant du forgeron a appris àbien serrer à l’aide des pinces.
Famille et relations,Kurɔ kpao ka win durɔ ba baarina. Gbee kokonu nu baarina yè nu sannamɔ.,"La nouvelle mariée et son époux se sont serrés l'un contre l'autre. Les crabes se sont pincés, quand ils se querellaient."
Famille et relations,Ba bii wi gɔ̃ buru go sɛkum sere u baaru soora.,Ils ont sevré précocement l’enfant au point il souffre de troubles de croissance.
Famille et relations,"Bii wi u maro da, mi giau man baaru soorari.",Cet enfant est allé en ville et là-bas il a dépéri étrangement.
Famille et relations,Bii be ba babana.,se toucher l'un l'autre. Les enfants se sont touchés les uns les autresinacc.
Famille et relations,U man bii wi babari.,"A ma surprise, il a touché l’enfant, :"
Famille et relations,Yè win durɔ u gu yera ba wii sikuru babasia.,"Quand son mari est décédé, ils lui ont fait toucher la tombe."
Famille et relations,Bii win babiribu bu ra win mɛro dore.,"Lorsqu’on palpe son enfant, la mère est contente."
Famille et relations,"Kɛkɛ baka, kɛkɛ bɛkɛ (kɛkɛ bakanu).","Un grand camion, de grands camions."
Famille et relations,Bakewa u sãa bɛsɛn yɛnun tɔn kurɔ.,Baké est la seule femme de notre maison.
Famille et relations,Ba bii wi gana bakusiabù ka nunso.,Ils ont fait adosser l’enfant contre le mur pour le frapper.
Famille et relations,"Win debun bàn diru sɔɔra, bature ba tem dua.","C'est pendant que son grand-père briguait le trône, que les colons sont arrivés."
Famille et relations,Nɛna na nɛn mɛron bii Bɔna.,Je suis la deuxième fille de ma mère et de mon père.
Famille et relations,Nɛn debu u man barari.,Mon grand-père est tombé malade de façon inattendue.
Famille et relations,Seron kurɔ u batakunu dɔramɔ yaburɔ.,La femme de Séro vend des bottes au marché.
Famille et relations,"U be kpuro sokusia. U bè sokusia. Kurɔ bè ba wee, ba sãa nɛn wuugibu. Na sɔɔ bè wa gĩa.","Pers. . 3ème pers. Il leur a tous fait appel. qui, que. Les femmes qui viennent sont des femmes de mon village. — dém. Ces (démonstratif proche). J'ai vu ces étrangers hier."
Famille et relations,Su berana sian sɔ̃.,Rendons-nous visite pour maintenir les relations.
Famille et relations,Beranaa ya ra mɛro bisiru dam sosiwa.,Les visites réciproques renforcent les liens de familiarité.
Famille et relations,"A ka bii sinɔ, na beribu dɔɔ. 18 berima bɛɛgia beriba.","Reste avec l'enfant, j'irai vendre."
Famille et relations,Nɛn dwaani u man beriri.,Mon oncle est en train de s'aventurer contre mon gré. .
Famille et relations,U win bibu yaa berisia.,Il a envoyé ses enfants vendre de la viande à la criée dans le village.
Famille et relations,Woruwa u sãa nɛn bɛɛrɛ. bɛɛrɛwa bɛɛrɛba bɛɛrɛbara.,"w1) manière d'appeler son grand frère ou sa grande soeur, du même sexe. C'est Woru qui est mon grand frère."
Famille et relations,"Bii wi, u sun bɛ̀ɛrɛ doke. bɛ̀ɛrɛ doke.",Cet enfant nous respecte.
Famille et relations,Bii mɛro u win bii bɛwa.,Une mère tient son enfant de côté.
Famille et relations,Na dobo wi bii wi bɛkiari.,J’ai guéri l’enfant contre le gré du sorcier.
Famille et relations,"Gunun bɔrɔu nùn bɛkiasia. Yè u kĩ ù win bii yikuru bɛkiasia, u nùn karewa gberɔ u yake.","L’ami de Gounou l’a fait guérir. Pour guérir son fils de la paresse, il lui a attribué une grande surface de travail au champ."
Famille et relations,Kurɔ ka durɔ ba bɛkinɛ ba ka sĩimɔ.,La femme et son amoureux marchent corps contre corpsinacc.
Famille et relations,Bii wi u man bɛndari.,Cet enfant est tombé contre mon gré.
Famille et relations,Bii wi u swĩ uka bɛndasi.,L'enfant a pleuré et a fini par tomber. .
Famille et relations,"Bana u dãa bɛ̃ ramɔ. Nɔɔ gè Gusunɔ u bɛ̃ ra, ga ǹ dim biamɔ. Worun baaba u man gĩa kɛ̃ ru bɛ̃ ra. kurɔ mɔro u kpee yi bɔru bɛ̃ ra.","Bana fend du bois. La bouche que Dieu a fendu trouvera toujours à manger. Hier, le père de Woru m'a fait un cadeau qui dépasse les limites raisonnables. mettre des condiments de façon exagérée dans la sauce, dépasser la dose. La ménagère a mis trop de sel dans la sauce."
Famille et relations,Gunun kurɔ u sun dãa bɛ̃ rasi yɛnu yaaraɔ.,. . La femme de Gounou a fendu son bois sans se soucier de notre présence dans la cour de la maison.
Famille et relations,Bii mɛro u soru bɛre. U tìm bɛre daaru sɔɔ.,La nourrice a préparé de la bouillie. jeter du poison dans l'eau pour tuer les poissons. Il a mis du poison dans le marigot.
Famille et relations,Mare kurɔbu ba soru bɛrebu yɛ̃ .,Les femmes peulh savent préparer la bouillie.
Famille et relations,Bɛ̀ rɔ ga saãawa dãa tèn yaraa tɔn kurɔbu ba ra kã.,arbre dont les femmes utilisent les racines pour se curer les dents. Le cure- dents du terminalia est bien pour les femmes.
Famille et relations,Bɛsɛn bɔrɔu turuma.,notre. Notre ami est arrivé.
Famille et relations,Kurɔ wi u yina ù dãa ye bɛ̃ suku.,Cette femme a refusé de fendre ces bois.
Famille et relations,Nɛ ka kurɔ wi sa bɛsuna.,La femme et moi nous nous sommes querellés.
Famille et relations,Tɔn be ba man nɛn mɔɔ bɛsuri.,Ces gens ont réussi à énerver mon frère.
Famille et relations,u daa te bɛwa.,Il a longé le marigot.
Famille et relations,A mango bia ye suo a duure. Bii be ba nɛn sese bia kɔra. A man taba kpee bia kɛ̃ .,Prends le noyau de la mangue pour la mettre en terre. couvercle. Les enfants ont cassé le couvercle de ma marmite d’argile. petite pierre pour moudre. Donne-moi la petite pierre à moudre le tabac : .
Famille et relations,Biɔnbii bɔru kpararu u gberu da. bii bɔru kparara. bii bɔru kparana,"Dans la maison de Bio, il y a beaucoup d'enfants de sa conjointe."
Famille et relations,Bɔna kùn ki bù win bii mɛna.,Bona ne veut :
Famille et relations,"Kon bii tɔn durɔ mɛnabu da, un ka man wãa.",J’adopterai un petit garçon pour qu'il vive avec moi.
Famille et relations,Bii mɛro u win bii bɔm kɛ̃ mɔ.,La mère allaite son enfant.
Famille et relations,Bii sanu sanuru ta wɔruma. bii sanu sanuru bii sanu sanura. bii sanu sanunu. bii sanu sanuna .,Le petit enfant qui apprend à marcher est tombé.
Famille et relations,"Wunɛn baaban kurɔ wia kere, wiya ra nun soku biigi.",La femme de ton père qui est plus jeune que toi t'appelle biigi.
Famille et relations,"Gros, immense, énorme. Biɔ uka win dokiri dãa bĩiru daawa. Wom kowo wi u dɔkɔ bĩiru mɔ.",Ce chanteur a une voix rauque.
Famille et relations,"Yè durɔ win biiu barɔ, yerau bikiaru da.","Quand l'enfant de cethomme est malade, il est allé consulter le devin. bikiaru de ."
Famille et relations,biiu nùn dɔkɔ binderi.,L’enfant est tombé dans le puits par inattention.
Famille et relations,Bii wi u binɛ mɔ.,Cet enfant est glouton
Famille et relations,Biɔ uka win tundo gberu da.,Bio a accompagné son père au champ. .
Famille et relations,"Na bii gɔra Worun mi ù man tebo bɔkurama, ma u man gè birama.",J'ai envoyé un enfant emprunter une houe à Woru et il me l'a refusée.
Famille et relations,"Bii mɛro biru ga kù ra bii sure. biru yɔ̃ra: Su win biru yɔ̃ra. réfléchir avant d’agir, être prudentA dea biru mɛɛri. Suru yirun biru. U mɔraru dawa win tundon gɔɔn biru. Na wii biru kua. bìru ( nɔni) En présence de. biru banga/biru tũuru/ biru tìntìndu [biru banga]haut du dos. U biru banga kureru sɔndi.",Le dos d’une mère ne laisse jamais tomber l’enfant. Soutenons-le. Réfléchis avant d’agir. après. Deux mois après. Elle s’est mariée après la mort de son père. biru kuaaider quelqu'un à laver son dos pendant qu’il prend sa douche. Je lui ai lavé le dos. . bìra. Il a mis son sac au dos
Famille et relations,Nɛn mɛro bisi.,"de la même famille, compagnon. Ma famille élargie, famille parente et alliée."
Famille et relations,Boo sɛ̃ kuro ga kĩ gu bibu kpe wuuwɔ. bòo sɛ̃ kurowa. boo sɛ̃ kurosu. bòo sɛ̃ kurosa .,La jaunisse est en train d'exterminer les enfants dans le village.
Famille et relations,Kurɔ wi u boori mɔ.,Cette femme un esprit du genre boori. .
Famille et relations,Tɔn kurɔba booro yaamɔ.,Les femmes sont en train de danser avec des claquements de mains.
Famille et relations,"Ye ba garaasa da, win biiwa u boria.","Quand ils sont allés à l’examen, c’est son enfant qui a été premier."
Famille et relations,Biiwi u bɔ.,"dur, brutal. Cet enfant est brutal."
Famille et relations,Bii u wɔruma u win bɔɔru kɔra.,"L'enfant est tombé, il a cassé sa nuque. ."
Famille et relations,Kurɔ wi u kùrayasa piibu bɔke.,"nouer, attacher, mettre (foulard, turban, collier, etc. Cette femme ne porte :"
